ID,Age,ABAC,AveCredit,ADB13,ADB103,AveDebit,AverageFee,BC,SmallLoans,CitySize,BureauScore,CreditCards,CSW9,CWUT,DebitOrderNum3M,DebitOrderVal3M,DebitOrderDispute,DIFO,EmployerGroup,AveBalance,GII,GrossSalary,Gender_Code,HB01,IDCC,IFGG,MDBL,MLL,MDBB,NettoSalary,NumCWL3M,NumLoanApps,NumLoanNTU,NumLoanTU,NumMOBL3M,NumRBL3M,NRV,OCTT,PDU,BLQ,Revolving,RG1,RRV1,Salary_Frequency,TimeSinceLastLoan,TimeSinceRB,ValMOBL3M,ValRBL3M,Vehicle
38660,40,1,17412.0866,0.7717,0.2173,-17287,163,1,0,Rural,606,0,0,0.105,10,-1905.94,0,0,Gov-Other,688.0019,1,19763.46,M,3,0.7463,HH,3236.39,0,22.18,14118.93,24,3,1,2,0,60,0,Loan,YYY,1,0,0.734205918,120,M,185,1,0,-18228.7,1
20067,45,1,4639.1833,0.1521,0.1086,-4772,52,1,0,City,634,0,3,0.6829,6,-641.94,0,0,Industrial Goods & Services,211.5116,0,4288.65,M,3,0.6802,M,578,0,19.28,3918.93,13,0,0,0,0,0,0,Loan,YNN,1,0,0.777446945,0,NULL,839,0,0,0,0
35968,34,1,0,0,0,0,5,0,1,Semi,635,0,0,0,0,0,0,0,Mining & Quarrying,0,0,26636,M,2,1.1,U,4.58,0,4.58,18585,0,0,0,0,0,0,0,Loan,NNN,0,2,0.453596121,0,NULL,1344,0,0,0,0
12753,53,1,0,0,0,0,0,0,1,City,628,1,0,0,0,0,0,0,Health Care,0,0,10193.83,F,1,1.1,U,-3.4,0,-3.4,8892.23,0,0,0,0,0,0,0,Loan,NNN,0,2,0.453596121,0,NULL,910,0,0,0,0
17591,52,1,8389.8933,0.1413,0.0652,-8216,101,1,0,City,593,0,3,0.7097,13,-4730.55,8,1,Construction & Materials,168.7272,0,7080,M,1,0.7212,M,1163.96,0,27.96,5448.21,19,0,0,0,0,0,0,Loan,YNN,1,2,0.751013926,0,NULL,763,0,0,0,0
28527,37,1,3295.22,0.3586,0,-3263,42,1,0,Rural,601,0,5,0.2766,0,0,0,0,Agriculture & Hunting,144.7783,0,1026.93,M,3,0.5477,M,541.53,0,19.16,844.32,8,1,0,1,0,0,0,Loan,NYY,0,0,0.853724447,37,W,219,0,0,0,0
22447,26,1,5486.2966,0.913,0.8913,-11379,163,1,0,Semi,604,1,1,0.5966,15,-3659.55,0,0,Security and Cleaning,8474.7475,0,5719.07,M,5,0.4865,M,7491.57,0,27.31,5347.68,31,8,3,2,2,0,0,Loan,YYY,1,0,0.883974642,208,M,231,0,-1800,0,0
654,27,1,39996.1033,0.7826,0.3478,-41064,126,1,0,City,623,1,1,0.1116,19,-9476.84,0,3,Industrial Goods & Services,886.6748,0,10282,M,1,0,H,2039.85,0,17.79,9430,30,0,0,0,0,27,0,Loan,YYY,1,1,1,0,0,59,1,0,-32933.22,1
29253,22,1,4846.5866,0.2065,0.0326,-4783,47,1,0,City,588,0,1,0.5928,3,-1454.85,0,0,Recruitment,166.1268,0,3302.95,M,2,0.5369,M,2445.38,0,55.97,3039.08,12,1,1,0,0,0,0,Loan,YNN,0,1,0.859298379,22,M,4,0,0,0,0
35755,52,1,17800.0633,1,1,-17751,120,1,0,Semi,667,1,0,0.4686,15,-3142.41,0,0,Gov - Education,8230.7575,1,18461,F,5,0.6526,HH,12250.48,0,5016.83,13328.98,17,0,0,0,0,0,0,Loan,YYN,1,0,0.794507625,0,NULL,1010,0,0,0,0
9334,33,1,0,0,0,0,1,0,0,City,629,1,0,0,0,0,0,0,Transport & Logistics,0,0,33013.74,M,5,1.1,U,0,0,0,22957.08,0,1,0,0,0,0,0,Loan,NNN,0,3,0.453596121,33,NULL,605,0,0,0,1
5068,26,1,5326.3333,0.25,0.2173,-4798,19,1,0,Rural,593,0,1,0.5418,5,-1350,0,0,Retail & Wholesale,831.3036,0,559.6,M,1,0.7976,M,5463.72,0,27.79,547.4,10,0,0,0,1,0,0,Loan,YYY,1,1,0.698426356,0,NULL,847,0,-500,0,0
28284,33,1,0,0,0,0,11,0,0,Semi,634,0,0,0,0,0,0,0,Gov Health,0,1,7413,F,4,1.1,U,0,0,0,6697,0,2,1,1,0,0,0,Loan,NNN,0,1,0.453596121,66,M,338,0,0,0,0
9385,35,1,31989.39,0.4782,0.2826,-31940,75,0,1,Rural,614,0,2,0.2826,0,0,0,0,Gov Health,1892.5784,1,30811.96,M,5,1.1,U,3414.5,0,19.3,21369.24,19,2,0,1,0,0,0,Loan,NYY,0,1,0.453596121,70,M,45,0,0,0,1
33182,30,1,7156.55,0.2934,0.2282,-7100,51,1,0,City,609,0,5,0.6625,0,0,0,0,Travel & Leisure,685.3466,0,4509.05,F,2,0.818,M,4068.09,0,23,4285.27,20,2,1,1,0,0,0,Loan,NYN,1,1,0.683682134,60,M,89,0,0,0,0
12947,34,0,1550,0.0434,0,-1477,10,0,0,City,586,0,1,0.7519,0,0,0,0,Retail & Wholesale,77.8567,0,3286.26,F,3,1.1,U,69.51,0,64.57,3023.36,2,1,0,1,0,0,0,Loan,NYN,0,0,0.453596121,34,M,306,0,0,0,0
18406,55,1,0,0,0,0,6,0,0,City,661,1,0,0,0,0,0,0,Gov - Education,0,1,17420,F,4,1.1,U,20.62,0,15.46,14074.57,0,0,0,0,0,0,0,Loan,NNN,0,1,0.453596121,0,NULL,661,0,0,0,0
41624,30,1,4117.9633,0.2826,0.0543,-4081,40,1,0,Rural,604,0,3,0.4613,0,0,0,0,Personal & Household Goods,184.7775,0,1760.88,F,1,0.6668,M,1252.08,0,25.28,1736.27,9,4,3,1,7,0,0,Loan,NYY,0,1,0.785804804,120,F,143,0,-680,0,0
35211,29,1,3800,0.2826,0.1086,-3877,45,1,0,Semi,597,0,0,0.256,6,-924,0,0,Retail & Wholesale,265.4748,0,3750,F,1,0.4172,M,1666.3,0,23.92,3650,8,2,1,1,2,0,0,Loan,YYY,1,3,0.914227089,58,M,160,0,-840,0,0
38404,30,1,10728.1533,0.2934,0.1195,-10647,150,1,0,Rural,611,0,1,0.2308,12,-5309.72,5,0,Mining - Platinum,483.3552,0,11935.86,M,2,0.4229,H,2374.56,0,19.31,9211.11,17,2,0,2,0,0,0,Loan,YYN,1,1,0.911902597,60,M,21,0,0,0,0
31160,45,0,12657.5633,0.076,0.076,-12633,30,1,0,Rural,577,0,1,0.4619,0,0,0,0,Mining - Coal,359.1071,0,11593,M,0,0.6646,H,3089.98,0,35.21,8736.08,11,2,0,0,0,0,0,Loan,NYN,0,0,0.787163546,90,NULL,429,0,0,0,0
34954,35,1,0,0,0,0,0,0,0,City,658,0,0,0,0,0,0,0,Services,0,0,7330.44,M,2,1.1,U,0,0,0,6714.7,0,0,0,0,0,0,0,Loan,NNN,0,1,0.453596121,0,NULL,845,0,0,0,0
13072,47,1,16622.7166,0.3369,0.1413,-16673,84,1,0,Semi,599,0,2,0.1182,9,-6505.91,3,3,Gov - Education,537.2769,1,19464.25,F,2,0.2746,H,4062.31,0,28.7,15686.71,7,2,1,1,0,7,0,Loan,YYN,1,1,0.962533739,94,M,164,1,0,-13760,0
44569,40,1,15309.3033,0.8586,0.7934,-12153,236,1,0,Semi,595,0,0,0.3906,6,-1468.02,0,0,Mining - Platinum,6317.0315,0,11251.72,M,1,0.9337,H,21215.58,0,347.56,9552.56,75,2,0,1,0,0,0,Loan,YYN,1,1,0.594863903,80,M,16,0,0,0,0
31526,54,1,2768.1266,0.1086,0,-2732,59,1,0,City,633,0,9,0.8776,0,0,0,0,Personal & Household Goods,44.2868,0,725.48,F,2,0.9221,L,88.05,0,14.59,626.19,16,1,0,1,0,0,0,Loan,NNY,0,1,0.604148059,54,W,219,0,0,0,0
35077,37,0,5109.3933,0.0869,0.0543,-5048,47,1,0,City,596,0,2,0.3255,2,-994.06,0,0,Security and Cleaning,122.4711,0,4215.1,F,3,0.4975,M,28.28,0,16.58,3911.22,5,7,4,1,1,0,1,Loan,YYY,0,0,0.878778382,259,M,180,0,-1500,0,0
4271,26,1,9811.8,0.6521,0.1521,-9678,122,1,1,City,621,1,2,0.2229,5,-2539.17,0,7,Financial Services,441.2001,0,9767.44,F,5,0,M,1072.39,0,26.52,8992.75,16,1,1,0,0,48,0,Loan,YYN,0,0,1,26,NULL,511,1,0,-14131,1
13181,33,0,9722.1633,0.5,0.3043,-9671,104,1,0,City,579,0,5,0.6403,12,-1104.28,0,1,Construction & Materials,1465.4147,0,1284.39,M,0,0.5025,M,4489.93,0,21.09,915.58,33,4,3,1,0,0,0,Loan,YYN,1,0,0.876381257,132,W,41,0,0,0,0
6081,39,1,11222.3333,0.326,0.0434,-11150,118,1,2,Semi,614,0,4,0.3559,20,-6671.54,5,13,Mining - Gold,197.752,0,13470.44,M,4,0.4742,H,261.25,0,-2.99,9304.09,16,7,3,1,0,0,0,Loan,YYN,1,2,0.889658308,273,M,243,0,0,0,0
40524,35,1,30266.6766,0.8695,0.4347,-29964,130,1,0,City,596,0,1,0.2732,13,-21085.51,0,0,Utilities,2093.1921,0,26090,F,5,0.5558,HH,10793.53,0,27.57,12407,28,1,0,0,0,0,0,Loan,YYY,1,0,0.849478614,35,NULL,522,0,0,0,1
4883,24,1,3027.1633,1,0.163,-3655,23,1,0,City,623,0,0,0.7326,5,-442.94,1,0,Services,678.5281,0,2220,F,4,0.762,M,2555.82,0,130.95,2197.8,8,0,0,0,0,0,0,Loan,YYY,1,1,0.723456719,0,M,127,0,0,0,0
43456,45,1,2507,0.4565,0.0652,-2508,26,1,0,City,636,0,2,0.6569,3,-560.55,0,0,Security and Cleaning,251.6635,0,2050,F,2,0.6959,L,1832.92,0,13.71,2029.5,6,2,2,0,0,0,0,Loan,YYN,1,2,0.767477044,90,NULL,885,0,0,0,0
16959,33,0,11434.9833,0.4333,0.1777,-11306,72,1,0,City,569,0,4,0.6734,0,0,0,0,Technology,590.9657,0,5500,M,0,0.8092,H,3869.31,0,27.69,4897.58,22,7,0,4,0,0,0,Loan,NYN,0,0,0.690077642,231,M,16,0,0,0,0
27773,45,0,5234.07,0.0543,0.0217,-5151,90,1,0,Semi,587,0,5,0.6387,2,-280.5,9,0,Retail & Wholesale,134.9279,0,6821.4,M,3,1.1,M,4104.36,0,9.84,6677.59,7,2,0,0,0,0,0,Loan,YNN,0,0,0.453596121,90,M,97,0,0,0,0
39889,29,0,18415.79,0.4673,0.163,-11721,83,1,0,Semi,593,0,0,0.3191,5,-8712.88,1,3,Services,1848.763,0,9352.22,M,3,0.8078,HH,24011.4,0,38.81,8023.57,24,2,0,0,0,0,0,Loan,YYY,1,0,0.691090195,58,NULL,369,0,0,0,0
31958,25,1,11855.82,0.5543,0.1956,-11689,60,1,2,City,625,1,1,0.4017,5,-1659.99,0,1,Transport & Logistics,537.8867,0,12395.57,M,4,1.1,M,1757.1,0,22.9,10477.16,22,7,1,2,0,0,0,Loan,YYN,0,2,0.453596121,175,M,47,0,0,0,0
12002,59,1,0,0,0,0,2,0,1,Rural,631,0,0,0,0,0,0,0,Gov - Education,0,1,21085.7,F,3,1.1,U,0,0,0,13835.56,0,5,2,0,0,0,0,Loan,NNN,0,2,0.453596121,295,NULL,1136,0,0,0,0
13522,31,1,18439.12,0.2717,0.1413,-18340,89,1,0,City,593,0,9,0.588,3,-359.97,0,0,Media,898.6258,0,2330.59,M,3,0.3686,H,7068.87,0,-1.6,2043.5,28,14,6,4,0,0,0,Loan,YYY,1,0,0.932832693,434,W,35,0,0,0,0
5572,25,0,10848.92,0.1555,0.1111,-10197,67,1,0,City,632,0,2,0.5649,12,-4095.65,0,5,Security and Cleaning,430.0997,0,5713.51,M,4,0.5009,M,3452.19,0,20.23,5348.04,7,6,2,2,0,0,0,Loan,YYY,1,0,0.877150724,150,M,46,0,0,0,0
3967,47,1,9242.6766,0.1847,0.076,-9393,33,1,0,City,597,0,2,0.6439,2,-3331.67,0,0,Services,285.1367,0,8424.28,M,1,0.6416,H,36.05,1,23.26,6099.2,12,0,0,0,0,0,0,Loan,YYN,0,0,0.801139219,0,NULL,398,0,0,0,0
6898,35,1,11140.7066,0.1956,0.076,-11230,155,1,0,City,595,0,10,0.5742,23,-4251.92,7,1,Automobile & Parts,315.6298,0,1858.95,M,2,0.5465,H,4256.55,0,30.48,1605.45,25,0,0,0,0,0,0,Loan,YYN,1,0,0.854348702,0,NULL,367,0,0,0,0
27976,34,1,28.5,0,0,-29,7,0,0,City,606,0,0,0,0,0,0,0,Personal & Household Goods,18.2504,0,6187.45,M,1,1.1,U,28.5,0,0,5743.35,0,4,2,1,0,0,0,Loan,NNN,0,2,0.453596121,136,M,158,0,0,0,0
42094,43,1,7626.28,0.0217,0,-7596,60,1,0,Rural,606,1,3,0.3637,14,-5656.75,1,0,Agriculture & Hunting,55.8617,0,7910.73,M,1,0.2704,H,73.16,0,12.93,6881.16,6,2,0,0,0,0,0,Loan,YNN,1,1,0.963664127,86,NULL,766,0,0,0,0
5855,33,1,3351.46,0.3369,0,-3181,8,1,0,City,614,0,1,0.7184,2,-393.76,0,0,Retail & Wholesale,111.1923,0,2664.87,M,2,0.7568,M,451.24,0,31.11,2145.38,4,0,0,0,1,0,0,Loan,YNY,0,1,0.727036844,0,NULL,784,0,-500,0,0
23482,26,1,3126.32,0.0434,0.0108,-3092,51,1,0,Rural,593,0,2,0.3724,4,-1721.28,1,3,Retail & Wholesale,53.8278,0,5637.74,M,1,0.3697,L,57.53,0,8.36,4060.66,3,3,1,1,0,0,0,Loan,YYY,0,0,0.932435788,78,M,266,0,0,0,0
14498,60,0,5226.0133,0.7608,0.1086,-5090,49,1,0,Rural,575,0,1,0.3141,3,-135,0,2,Agriculture & Hunting,454.6547,0,751.51,M,0,0.6833,M,1338.42,0,55.04,743.99,10,1,0,1,0,0,0,Loan,YYN,1,0,0.775493472,60,W,254,0,0,0,0
33659,24,1,2998.1,0.0326,0,-2981,41,1,0,City,580,1,2,0.4877,2,-1062.5,0,0,Retail & Wholesale,45.979,0,6914.22,F,1,1.1,M,16.69,0,11.52,6350.79,4,1,0,0,0,0,0,Loan,YNY,0,2,0.453596121,24,NULL,605,0,0,0,0
27826,30,1,2535.25,0.0652,0.0543,-2668,52,0,0,City,613,0,1,0.5717,0,0,0,0,Pensioners & Social Grants,97.3139,0,26782.06,F,2,1.1,U,9.91,0,4.7,22399.28,3,4,2,2,0,3,0,Loan,NYN,0,2,0.453596121,120,M,223,3,0,-184,0
16107,39,0,1635.6666,0.1208,0.0109,-1985,56,1,0,Rural,588,0,3,0.3952,4,-420,0,2,Retail & Wholesale,87.5943,0,499.41,F,3,0.1861,L,171.6,0,0,482.36,9,1,0,1,3,0,0,Loan,YYY,0,0,0.982733315,39,NULL,230,0,-140,0,0
16863,24,1,28724.4266,0.6739,0.4239,-29860,88,1,0,Rural,642,0,1,0.4042,0,0,0,5,Gov-Other,3324.1843,1,12745.5,F,2,0.9448,HH,22938.85,0,25.31,9034.29,29,0,0,0,5,0,0,Loan,NYY,1,1,0.585904967,0,M,6,0,-6010,0,0
2822,44,1,0,0,0,0,0,0,0,Rural,631,0,0,0,0,0,0,0,Gov Health,0,1,10717.71,F,2,1.1,U,0,0,0,8031.56,0,0,0,0,0,0,0,Loan,NNN,0,2,0.453596121,0,NULL,1028,0,0,0,0
10068,44,1,20457.7566,0.076,0.0434,-20354,118,1,0,City,658,2,2,0.0743,0,0,0,0,Gov-Other,166.0096,1,18799.5,F,2,0.6574,HH,2583.06,0,-28.81,12667.39,7,1,0,1,0,0,0,Loan,NYN,0,5,0.791583663,44,M,46,0,0,0,0
11623,43,1,0,0,0,0,0,0,0,City,605,0,0,0,0,0,0,0,Transport & Logistics,0,0,1683.6,M,2,1.1,U,0,0,0,1590.76,0,1,1,0,0,0,0,Loan,NNN,0,2,0.453596121,43,NULL,651,0,0,0,0
9949,41,1,15101.92,0.5164,0.4065,-14972,115,1,0,City,569,0,2,0.2549,27,-13021.54,6,0,Gov-Other,1455.9039,1,15380.16,F,3,0.3808,H,6089.8,1,28.47,13690.24,20,10,4,1,3,0,0,Loan,YYY,1,1,0.928367602,410,NULL,268,0,-320,0,0
39162,38,0,33219.0433,0.7717,0.6086,-33836,67,1,0,Semi,599,0,3,0.64,10,-5676.89,0,0,Mining - Platinum,8618.8197,0,11808.88,M,3,0.5039,H,7267.26,0,27.52,9416.8,31,1,0,0,0,0,0,Loan,YYY,1,0,0.875706133,38,M,76,0,0,0,0
25997,35,1,10716.0066,0.4347,0.3043,-10970,64,1,0,City,601,0,2,0.5143,18,-3879.79,0,2,Retail & Wholesale,1466.2088,0,10150.74,M,4,0.6727,H,5522.54,0,20.02,8045.64,18,2,1,0,0,0,0,Loan,YYN,1,5,0.782142149,70,M,39,0,0,0,0
8571,44,1,6558.4633,0.0978,0.0108,-6503,41,1,0,City,626,0,0,0.403,0,0,1,0,Personal & Household Goods,96.7469,0,6092.44,M,2,0.5199,M,711.84,0,20.19,5524.75,14,4,1,1,0,0,0,Loan,NNY,0,1,0.867868863,176,M,31,0,0,0,0
40961,25,1,11349.99,0.5652,0.3369,-11607,43,1,0,City,641,0,0,0.0641,7,-2140.61,0,1,Retail & Wholesale,1008.0114,0,8383.92,F,2,0.7315,H,2048.2,0,25.13,7111.08,9,1,0,0,0,18,0,Loan,YYN,1,1,0.74417326,25,M,46,1,0,-11409,0
34663,25,1,8536.8366,0.5,0.326,-8936,31,1,0,City,593,0,0,0.5567,0,0,0,0,Security and Cleaning,1423.0703,0,5121,F,2,0.7119,M,3733.37,0,71.35,5049.79,20,0,0,0,0,0,0,Loan,NYY,1,1,0.757122024,0,M,68,0,0,0,0
32319,32,1,20733.1566,0.5978,0.4347,-16863,82,1,0,Rural,624,0,3,0.3059,9,-2917.05,0,1,Gov - Police,5400.3706,1,14281.75,M,3,0.8106,HH,25696.59,1,66.79,8081.99,18,0,0,0,21,0,0,Loan,YYY,1,0,0.689063737,0,M,60,0,-6670,0,0
22347,24,1,45962.7566,0.8586,0.326,-45103,162,1,0,Semi,602,0,0,0.145,4,-4232.36,0,1,Transport & Logistics,1117.4611,0,16089.65,M,2,0.5494,HH,7792.72,0,186.95,13283.28,39,3,0,2,32,4,0,Loan,YYY,1,2,0.852837981,72,M,55,4,-3119,1717.92,0
33703,46,1,3971.6666,0.6195,0.2717,-3793,24,0,0,Semi,616,1,0,0.6822,0,0,0,0,Gov - Education,1085.3329,1,27859,F,2,0,U,8020.51,0,38.81,22853,10,0,0,0,0,0,0,Loan,NYY,0,2,1,0,NULL,1651,0,0,0,0
28118,22,0,9520.1766,0.1666,0.1333,-9501,36,1,0,City,579,0,1,0.5637,3,-604.5,0,3,Security and Cleaning,894.476,0,3749.14,F,0,0.5776,M,27.55,0,12.13,3438.83,15,3,1,2,0,0,0,Loan,YYY,1,0,0.837775497,66,M,70,0,0,0,0
14874,50,1,-99,0,0,-99,11,0,0,City,609,0,0,0,0,0,0,0,Gov - Education,31.28,1,7787,F,1,1.1,U,9.49,0,4.28,6445.67,0,1,0,1,0,0,0,Loan,NNN,0,1,0.453596121,50,M,287,0,0,0,0
23348,28,1,6645.1666,0.4565,0.1739,-6607,48,1,0,Semi,623,0,0,0.2997,6,-1115.57,1,1,Transport & Logistics,650.757,0,3063.13,M,4,0.8248,M,5854.15,0,28.73,3032.5,13,3,1,2,2,0,0,Loan,YYY,1,2,0.678703862,84,M,292,0,-300,0,0
7761,35,0,3497.11,0.0978,0,-3425,56,1,0,Semi,550,0,6,0.4847,5,-560.27,0,0,Chemicals,54.7547,0,939.93,M,0,0.4155,L,316.9,0,15.81,930.53,17,4,1,3,0,0,0,Loan,YYN,1,0,0.914914611,140,W,37,0,0,0,0
3842,35,1,4744.16,0.076,0.0652,-4710,42,1,0,City,629,0,1,0.783,0,0,0,0,Security and Cleaning,170.8211,0,3627.12,M,2,0.8337,M,2085.71,0,19.8,3323.5,14,0,0,0,3,0,0,Loan,NNY,1,2,0.672140801,0,NULL,942,0,-1000,0,0
18946,26,1,15377.89,0.5217,0.3804,-15257,130,1,0,City,593,0,1,0.354,9,-3181.83,0,4,Health Care,3147.3577,0,11269.28,F,2,0.0584,M,1127.06,0,-4.9,8790.72,29,1,0,1,0,65,0,Loan,YYN,1,2,0.998295205,26,M,81,1,0,-1365,0
7165,23,1,11621.97,0.2391,0.1086,-11275,88,1,0,Rural,597,0,8,0.5849,3,-252,0,0,Construction & Materials,450.9465,0,6666.62,M,2,0.5477,M,4016.48,0,17.3,6545.86,34,1,0,1,0,0,0,Loan,YYY,1,1,0.853724447,23,M,55,0,0,0,0
35092,28,1,5881.2,0.326,0.2173,-5815,62,1,0,City,569,1,0,0.6991,0,0,0,0,Security and Cleaning,477.1098,0,4352.98,M,4,0.7485,M,2818.95,0,19.96,3913.12,18,0,0,0,0,0,0,Loan,NYN,0,0,0.732710503,0,M,132,0,0,0,0
36230,24,0,8461.1333,0.4888,0.1444,-8399,63,1,0,City,606,0,1,0.2694,7,-3125,0,1,Financial Services,510.4777,0,7109.21,F,3,0.5464,M,1932.87,0,25.23,6847.16,16,3,0,2,0,22,0,Loan,YYN,1,0,0.854400668,72,M,103,1,0,-1742.5,0
24282,29,0,5460.2233,0.6847,0.2717,-5395,62,1,0,City,579,0,2,0.8642,0,0,0,0,Transport & Logistics,812.1206,0,4000,M,0,1,M,2937.87,0,26.35,3960,39,0,0,0,0,0,0,Loan,NYY,0,0,0.540302306,0,M,31,0,0,0,0
14297,32,1,27339.9766,0.9021,0.2717,-27927,119,1,0,City,646,0,0,0.1128,26,-7669.94,0,0,Services,924.8803,0,7304,M,4,0.8426,HH,7153.64,0,77.76,5923,20,0,0,0,0,14,0,Loan,YYY,1,0,0.6655245,0,NULL,1168,1,0,-37750,0
12823,36,1,2187.5,0.9456,0.6956,-2816,61,1,0,Semi,639,0,1,0.5066,2,-162,0,2,Retail & Wholesale,1939.4647,0,5726.42,M,2,1.1,L,1085.01,0,29.55,5440.1,13,0,0,0,1,0,0,Loan,YYY,0,2,0.453596121,0,NULL,392,0,-800,0,0
31060,29,0,11591.7066,1,0.6956,-11913,66,1,0,Semi,583,0,0,0.1953,0,0,0,0,Mining - Gold,1626.3476,0,10279.99,M,3,0.5757,H,5002.07,0,220.77,8719.63,20,2,1,1,0,0,0,Loan,NYY,1,0,0.838811412,58,M,230,0,0,0,0
4700,24,0,10258.1833,0.1195,0.076,-10189,176,1,0,Semi,565,0,0,0.3541,0,0,0,0,Gov-Other,274.0055,1,34667.25,M,0,0.8439,H,5143.25,0,18.08,28974.25,14,2,1,1,7,0,0,Loan,NYY,1,0,0.664553649,48,M,242,0,-6000,0,0
15895,53,1,0,0,0,0,0,0,0,Semi,675,1,0,0,0,0,0,0,Gov - Education,0,1,19852,F,2,1.1,U,0,0,0,13640,0,0,0,0,0,0,0,Loan,NNN,0,1,0.453596121,0,NULL,1581,0,0,0,0
38151,30,0,0,0,0,0,0,0,0,Semi,595,0,0,0,0,0,0,0,Banks,0,0,10308.98,M,3,1.1,U,0,0,0,9075.95,0,0,0,0,0,0,0,Loan,NNN,0,0,0.453596121,0,NULL,574,0,0,0,0
630,37,0,2831.8766,0.3804,0.0869,-2908,23,1,0,Semi,604,0,2,0.4871,0,0,0,0,Personal & Household Goods,252.7723,0,2421.79,F,3,0.8156,L,2474.59,0,23.75,2100.93,7,0,0,0,6,0,0,Loan,NYY,1,0,0.685431635,0,NULL,623,0,-200,0,0
30158,29,0,-99,0.1868,0.1868,-1582,90,0,0,City,605,0,2,0.9772,0,0,0,0,Security and Cleaning,486.7002,0,6360,M,3,1.1,U,0,0,0,5776,6,6,1,3,0,0,0,Loan,NNN,0,0,0.453596121,174,M,98,0,0,0,0
9517,46,1,5657.66,0.2717,0.0869,-5578,44,1,0,Rural,571,0,1,0.8285,0,0,0,0,Services,296.8703,0,2215.35,F,2,0.7558,L,1786.7,0,32.44,2062.12,15,1,0,1,0,0,0,Loan,NYY,1,1,0.727723079,46,M,61,0,0,0,0
